Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Is_Seed_Node,Residual,Abs_Error,Squared_Error
6_C_2_Day_1_HT,6,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.45,0.01,1.5e-05,0.10165,0.095,0.095,True,0.0,0.0,0.0
6_C_2_Day_1_LT,6,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.4,-0.009,1.2e-05,0.13375,0.125,0.125,True,0.0,0.0,0.0
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.0978,0.0914,0.1001086242458029,False,-0.008708624245802904,0.008708624245802904,7.584013625458619e-05
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.12926,0.1208,0.13123655866201916,False,-0.01043655866201916,0.01043655866201916,0.00010892175670576716
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.11749,0.1098,0.11427520873343683,False,-0.0044752087334368335,0.0044752087334368335,2.0027493207829307e-05
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.03841,0.0359,0.038352861228836105,False,-0.0024528612288361035,0.0024528612288361035,6.01652820792736e-06
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.14541,0.1359,0.14031959218141526,False,-0.004419592181415272,0.004419592181415272,1.9532795050027e-05
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.05275,0.0493,0.051218745528963,False,-0.0019187455289630048,0.0019187455289630048,3.6815844049155213e-06
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.03971,0.0361,0.1295708400562941,False,-0.09347084005629411,0.09347084005629411,0.008736797940829315
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.10054,0.0914,0.22103637598252346,False,-0.12963637598252348,0.12963637598252348,0.01680558997788219
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.06369,0.0579,0.16354631191664257,False,-0.10564631191664256,0.10564631191664256,0.011161143221588532
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.06985,0.0635,0.09058237804192157,False,-0.027082378041921568,0.027082378041921568,0.0007334552004055555
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.06578,0.0598,0.1871899659005164,False,-0.1273899659005164,0.1273899659005164,0.016228203412134733
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.05764,0.0524,0.08892060967818806,False,-0.03652060967818806,0.03652060967818806,0.0013337549312665631
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.03863,0.0361,0.10347499345797012,False,-0.06737499345797013,0.06737499345797013,0.004539389743461518
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.0978,0.0914,0.14488828185754238,False,-0.05348828185754238,0.05348828185754238,0.0028609962960718977
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.08817,0.0824,0.12123146248932118,False,-0.03883146248932118,0.03883146248932118,0.0015078824790595578
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.08357,0.0781,0.049963019482855996,False,0.028136980517144007,0.028136980517144007,0.0007916896726221414
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.0077,0.0072,0.14102955595676658,False,-0.13382955595676657,0.13382955595676657,0.017910350047585316
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.05607,0.0524,0.05708751990362716,False,-0.00468751990362716,0.00468751990362716,2.1972842846900782e-05
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.05607,0.0524,0.10251916160657226,False,-0.05011916160657226,0.05011916160657226,0.002511930360145707
6_F_across_2_Day_1_LT,6,CPC,F_across,D,Day_1,Neap,LT,49.82,0.87,-0.0161,4.8e-05,0.05275,0.0493,0.13364214750954623,False,-0.08434214750954623,0.08434214750954623,0.007113597846522056
6_F_across_2_Day_2_HT,6,CPC,F_across,D,Day_2,Spring,HT,49.82,0.93,0.0169,5.3e-05,0.05307,0.0496,0.11612099903052549,False,-0.0665209990305255,0.0665209990305255,0.004425043312019174
6_F_across_2_Day_2_LT,6,CPC,F_across,D,Day_2,Spring,LT,49.82,0.87,-0.0212,6.3e-05,0.03863,0.0361,0.03965153825700049,False,-0.0035515382570004903,0.0035515382570004903,1.261342399093808e-05
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.40425,0.3778,0.15692876378505827,False,0.22087123621494176,0.22087123621494176,0.0487841029871166
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.09502,0.0888,0.055097231247344294,False,0.03370276875265571,0.03370276875265571,0.001135876621594986
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.05456,0.0496,0.14028746646641874,False,-0.09068746646641873,0.09068746646641873,0.008224216574097823
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.08547,0.0777,0.21115245963750032,False,-0.1334524596375003,0.1334524596375003,0.017809558983298647
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.04829,0.0439,0.1571437338238078,False,-0.11324373382380781,0.11324373382380781,0.012824143250357434
6_G_2_Day_2_LT,6,CPC,G,F,Day_2,Spring,LT,54.23,0.47,-0.0085,1.4e-05,0.09768,0.0888,0.15380018380200214,False,-0.06500018380200213,0.06500018380200213,0.00422502389429406
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.05423,0.0493,0.18161541408091317,False,-0.13231541408091319,0.13231541408091319,0.01750736880340352
