Metric,Value
n_obs,96.0
RMSE_gL,0.05319072887724932
MAE_gL,0.034672096114941146
Bias_gL,-0.024250431597023375
BA_lower_gL,-0.11703879004137631
BA_upper_gL,0.06853792684732955
Within_BA_pct,93.75
Pearson_r,0.6055674770162898
Pearson_r_pvalue,6.307001931719724e-11
Spearman_rho,0.538132498043043
Spearman_rho_pvalue,1.562709271059696e-08
PairedT_t,-4.992796381821549
PairedT_df,95.0
PairedT_pvalue,2.694774399493843e-06
Wilcoxon_W,629.0
Wilcoxon_pvalue,5.343351493792773e-10
ShapiroWilk_W,0.846592773492535
ShapiroWilk_pvalue,1.475217566362078e-08
Regression_slope_full,0.6082582417814762
Regression_intercept_full,0.05002214251582451
Regression_r_full,0.6055674770162899
Regression_slope_noout,0.8007433243063701
Regression_intercept_noout,0.03910389153032776
Regression_r_noout,0.48756543971958355
n_noout,94.0
Bootstrap_PI_mean_width,0.1782190041805517
Threshold_gL,0.08
TP,22.0
FN,4.0
TN,45.0
FP,25.0
Sensitivity,0.8461538461538461
Specificity,0.6428571428571429
F1,0.6027397260273972
Accuracy,0.6979166666666666
