Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0_RC,Residual
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.0978,0.0914,0.03975855991431689,0.0516414400856831
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.12926,0.1208,0.038805240246881055,0.08199475975311896
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.11749,0.1098,0.04091721430080465,0.06888278569919534
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.03841,0.0359,0.039355979934893356,-0.003455979934893355
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.14541,0.1359,0.041165448044205084,0.09473455195579492
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.05275,0.0493,0.03908266630121904,0.010217333698780959
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.03971,0.0361,0.039355979934893356,-0.0032559799348933563
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.10054,0.0914,0.038805240246881055,0.05259475975311894
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.06369,0.0579,0.038664936550233786,0.019235063449766214
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.06985,0.0635,0.04177253480959762,0.021727465190402383
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.06578,0.0598,0.04002221978484651,0.019777780215153487
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.05764,0.0524,0.042820431441567164,0.009579568558432838
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.03863,0.0361,0.04413824606209674,-0.008038246062096743
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.0978,0.0914,0.03962532861945519,0.051774671380544805
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.08817,0.0824,0.04381662388633273,0.03858337611366727
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.08357,0.0781,0.03894447688464697,0.03915552311535303
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.0077,0.0072,0.040538767478386195,-0.0333387674783862
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.05607,0.0524,0.04128838398844109,0.011111616011558911
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.05607,0.0524,0.04683230751003778,0.005567692489962223
6_F_across_2_Day_1_LT,6,CPC,F_across,D,Day_1,Neap,LT,49.82,0.87,-0.0161,4.8e-05,0.05275,0.0493,0.046925936293182445,0.0023740637068175516
6_F_across_2_Day_2_HT,6,CPC,F_across,D,Day_2,Spring,HT,49.82,0.93,0.0169,5.3e-05,0.05307,0.0496,0.04766110622162883,0.0019388937783711702
6_F_across_2_Day_2_LT,6,CPC,F_across,D,Day_2,Spring,LT,49.82,0.87,-0.0212,6.3e-05,0.03863,0.0361,0.05125338692363251,-0.015153386923632509
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.40425,0.3778,0.0463581014664995,0.33144189853350053
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.09502,0.0888,0.048720762439101624,0.04007923756089838
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.05456,0.0496,0.041041728964351105,0.008558271035648893
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.08547,0.0777,0.041165448044205084,0.03653455195579492
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.04829,0.0439,0.03852354535062292,0.005376454649377083
