Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
6_C_2_Day_1_HT,6,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.45,0.01,1.5e-05,0.15,0.15,0.125,0.095,0.095,0.0,True,0.0,0.0,0.0
6_C_2_Day_1_LT,6,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.4,-0.009,1.2e-05,0.15,0.15,0.16,0.125,0.125,0.0,True,0.0,0.0,0.0
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.15,0.15,0.1188,0.0914,0.0859518031889869,10060.8,False,0.005448196811013092,0.005448196811013092,2.968284849153323e-05
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.15,0.15,0.157,0.1208,0.14921289897993034,9327.2,False,-0.028412898979930337,0.028412898979930337,0.0008072928284437264
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.15,0.15,0.1427,0.1098,0.09423115468979175,11004.0,False,0.015568845310208246,0.015568845310208246,0.0002423889442931933
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.15,0.15,0.0467,0.0359,0.03942055739965271,9746.4,False,-0.0035205573996527073,0.0035205573996527073,1.2394324404249432e-05
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.15,0.15,0.1767,0.1359,0.11194414553753321,11213.599999999999,False,0.023955854462466786,0.023955854462466786,0.0005738829630268898
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.15,0.15,0.0641,0.0493,0.06179794979818263,9536.800000000001,False,-0.012497949798182632,0.012497949798182632,0.0001561987491578933
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.15,0.15,0.0469,0.0361,0.07369414592295943,33015.0,False,-0.037594145922959434,0.037594145922959434,0.0014133198076767674
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.15,0.15,0.1188,0.0914,0.20693367729581819,31595.0,False,-0.11553367729581819,0.11553367729581819,0.013348030589494256
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.15,0.15,0.0753,0.0579,0.07124166707039328,31240.0,False,-0.013341667070393283,0.013341667070393283,0.00017800008021721649
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.15,0.15,0.0826,0.0635,0.06298289066226168,39760.0,False,0.0005171093377383251,0.0005171093377383251,2.674020671761692e-07
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.15,0.15,0.0777,0.0598,0.09446715266551615,34790.0,False,-0.034667152665516156,0.034667152665516156,0.0012018114739342038
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.15,0.15,0.0681,0.0524,0.08666008093615861,42955.0,False,-0.03426008093615861,0.03426008093615861,0.0011737531457521385
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.15,0.15,0.0469,0.0361,0.07879971335397751,45938.200000000004,False,-0.04269971335397751,0.04269971335397751,0.0018232655205118451
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.15,0.15,0.1188,0.0914,0.18053423470983568,32813.0,False,-0.08913423470983568,0.08913423470983568,0.007944911797308076
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.15,0.15,0.1071,0.0824,0.07304619590656365,44901.99999999999,False,0.00935380409343635,0.00935380409343635,8.74936510183866e-05
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.15,0.15,0.1015,0.0781,0.07120951773386176,31085.999999999996,False,0.00689048226613824,0.00689048226613824,4.7478745859965575e-05
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.15,0.15,0.0094,0.0072,0.1091994653135133,35230.8,False,-0.1019994653135133,0.1019994653135133,0.010403890924242602
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.15,0.15,0.0681,0.0524,0.08263144405799099,37303.200000000004,False,-0.030231444057990983,0.030231444057990983,0.0009139402098314384
