Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0_implicit,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
6_C_2_Day_1_HT,6,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.45,0.01,1.5e-05,0.15,0.15,0.125,0.095,0.095,0.0,True,0.0,0.0,0.0
6_C_2_Day_1_LT,6,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.4,-0.009,1.2e-05,0.15,0.15,0.16,0.125,0.125,0.0,True,0.0,0.0,0.0
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.15,0.15,0.1188,0.0914,0.0914,10060.8,True,0.0,0.0,0.0
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.15,0.15,0.157,0.1208,0.1208,9327.2,True,0.0,0.0,0.0
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.15,0.15,0.1427,0.1098,0.1098,11004.0,True,0.0,0.0,0.0
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.15,0.15,0.0467,0.0359,0.0359,9746.4,True,0.0,0.0,0.0
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.15,0.15,0.1767,0.1359,0.1359,11213.599999999999,True,0.0,0.0,0.0
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.15,0.15,0.0641,0.0493,0.0493,9536.800000000001,True,0.0,0.0,0.0
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.15,0.15,0.0469,0.0361,0.07917061916771868,33015.0,False,-0.043070619167718684,0.043070619167718684,0.001855078235490656
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.15,0.15,0.1188,0.0914,0.06299605466252821,31595.0,False,0.028403945337471787,0.028403945337471787,0.0008067841107340853
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.15,0.15,0.0753,0.0579,0.08686205220843639,31240.0,False,-0.028962052208436388,0.028962052208436388,0.0008388004681241951
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.15,0.15,0.0826,0.0635,0.012328820426936128,39760.0,False,0.05117117957306387,0.05117117957306387,0.0026184896188987494
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.15,0.15,0.0777,0.0598,0.11849319106001734,34790.0,False,-0.05869319106001734,0.05869319106001734,0.0034448906768076992
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.15,0.15,0.0681,0.0524,0.02440606340869917,42955.0,False,0.02799393659130083,0.02799393659130083,0.0007836604858777717
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.15,0.15,0.0469,0.0361,0.08426058791463817,45938.200000000004,False,-0.04816058791463817,0.04816058791463817,0.002319442228283592
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.15,0.15,0.1188,0.0914,0.0,32813.0,False,0.0914,0.0914,0.008353959999999999
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.15,0.15,0.1071,0.0824,0.08863956669961671,44901.99999999999,False,-0.006239566699616714,0.006239566699616714,3.893219259896581e-05
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.15,0.15,0.1015,0.0781,0.0,31085.999999999996,False,0.0781,0.0781,0.00609961
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.15,0.15,0.0094,0.0072,0.1332049567689227,35230.8,False,-0.12600495676892268,0.12600495676892268,0.015877249130338073
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.15,0.15,0.0681,0.0524,0.0,37303.200000000004,False,0.0524,0.0524,0.0027457600000000003
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.15,0.15,0.0681,0.0524,0.08521552796793445,53141.333333333336,False,-0.03281552796793445,0.03281552796793445,0.0010768588758142883
